QCM || Question 1 :  Virus: || V:  peut infecter des bactéries, des cellules animales ou végétales | V:  sont répliqués par la cellule quʼils parasitent |   ne peut infecter que lʼhomme | V:  nʼont pas les capacités propre de synthèse protéique |   ont une structure procaryote | V: sont des microorganismes parasites |   sont des microorganismes commensales | V:  sont répliqués dans le cytoplasme ou dans le noyau de la cellule hôte |   sont appelé aussi viroïdes |   ont des capacités de synthèse de protéines mais pas de synthèse dʼénergie
QCM || Question 12 :  Maladies infectieuses: ||   la réponse immunitaire non spécifique est utile pour établir le diagnostic étiologique | V:  sont des infections cliniquement manifestes |   le taux d'incidence est faible pour ces infections | V:  la réponse immunitaire est spécifique du micro-organisme infectant |   les signes et symptômes sont toujours les mêmes | V: l'indice de manifestation dépend du micro-organisme infectant | V:  la réponse immunitaire peut être détectée par des méthodes de diagnostic indirect |   sont plus fréquentes que les infections asymptomatiques pour tous les micro-organismes |   sont des infections subcliniques | V:  les signes et les symptômes dépendent de l'organisme infectieux et du stade de la maladie
QCM || Question 13 :  Les stades évolutifs des maladies infectieuses sont: ||   la période de convalescence | V: Période de latence | V: la période d’incubation | V: la période de début | V:  période terminale | V:  période d’état |   la période de manifestation clinique |   période de portage |   la période asymptomatique |   la période de lag
QCM || Question 14 :  Infections primaires: ||   sont déterminés par des micro-organismes primaires non pathogènes |   surviennent chez l'hôte doté d'une immunité spécifique | V:  les micro-organismes conditionnellement pathogènes peuvent être des agents pathogènes secondaires |   peut être déterminé par des bactéries conditionnellement pathogènes | V:  peut être déterminé par des bactéries pathogènes primaires | V: sont déterminées par des micro-organismes hautement pathogènes |   survenir à la suite d'une infection secondaire | V:  surviennent chez l'hôte immunocompétent | V:  ils peuvent être la cause d'une infection secondaire |   les micro-organismes opportunistes peuvent être des agents pathogènes primaires
QCM || Question 15 :  Infections endogènes: || V:  apparaissent dans les conditions de certaines déficiences de défense antimicrobienne de l'hôte | V:  la relation de commensalisme se transforme en relation de parasitisme |   sont déterminés par des micro-organismes hautement pathogènes du microbiote indigène | V:  sont déterminés par des micro-organismes du microbiote indigène |   toutes les infections peuvent être prévenues par la vaccination | V: les bactéries conditionnellement pathogènes peuvent provoquer des infections endogènes |   les bactéries conditionnellement pathogènes ne peuvent pas causer d'infections endogènes |   la relation de commensalisme se transforme en relation de mutualisme |   surviennent chez l'hôte immunocompétent | V:  ils ne peuvent pas être efficacement prévenus par la vaccination
QCM || Question 16 :  Infections exogènes: ||   la vaccination n'est pas efficace pour prévenir les infections exogènes |   sont déterminés par des micro-organismes du microbiote indigene | V: sont déterminés par des micro-organismes exogènes |  les virus ne peuvent pas provoquer d'infections exogènes | V: les bactéries conditionnellement pathogènes peuvent provoquer des infections exogènes |  n'apparaissent que chez l'hôte immunodéprimé | V: apparaître dans les conditions de certaines déficiences de défense antimicrobienne de l’hôte | V: certaines infections exogènes peuvent être prévenues par la vaccination | V: les agents pathogènes exogènes peuvent être des bactéries pathogènes ou conditionnellement pathogènes |  ils ne sont produits que par des bactéries hautement pathogènes
QCM || Question 17 :  Le réservoir d’agents infectieux peut être: ||   personnes atteintes de pseudo-infections | V:  le patient en période d'incubation | V:  le patient atteint d'une infection chronique | V:  la personne atteinte d'une infection inapparente |   le patient guéri cliniquement et microbiologiquement | V: le porteur sain de bactéries pathogènes |   patients atteints de maladie inflammatoire de l'intestin | V:  le patient atteint d'une maladie infectieuse |   personnes présentant des écoulements bactériémiques symptomatiques |   le patient avec une infection latente
QCM || Question 18 : Infections fermées: ||  une infection fermée peut être transmise directement, par des instruments chirurgicaux non stériles | V:    la transmission d'une infection fermée peut se produire accidentellement par des instruments contaminés |    la transmission d'une infection fermée peut se faire directement, par exposition percutanée |    la transmission d'une infection fermée peut se faire indirectement, par voie transplacentaire | V:    l'agent infectieux se trouve dans le sang | V:  l'agent infectieux se trouve enfermé dans une cavité (péritonéale, pleurale) |    la transmission d'une infection fermée peut se faire indirectement, par transfusion de sang contaminé |    la transmission d'une infection fermée peut se faire par exposition percutanée | V:      la transmission d'une infection fermée peut se faire indirectement par des vecteurs | V:    la transmission d'une infection fermée peut se faire directement, par voie transplacentaire
QCM || Question 19 :  Conditions d'apparition dʼune infection exigence : ||   l'existence d'une voie de transmission directe | V:  la source de l'infection peut être animale | V:  l'existence d'une source d'infection |   l'homme ne peut pas être une source d'infection s'il est traité |   la source animale d'infection est négligeable pour la transmission de bactéries résistantes |  l'existence d'un hôte périodiquement vacciné | V:  l'homme peut être une source d'infection | V:  l'existence d'un hôte réceptif |   l'existence d'une source endogène d'infection | V:  l'existence d'un chemin de transmission
QCM || Question 20 :  Selon la virulence de la bactérie, les infections peuvent être : || V:  infections invasives (bactéries possédant des invasines) | V:  infections non toxigènes | V:  infections toxiques et invasives |   Streptococcus pyogenes n'est pas une bactérie invasive |   les bactéries anaérobies sont des bactéries non invasives | V: infections toxigènes (bactéries toxigènes) | Clostridium tetani est une bactérie invasive |   Corynebacterium diphtheriae est une bactérie non toxigènes | V:  Clostridium perfringens est une bactérie toxigènes et invasive |   Clostridium tetani n'est pas une bactérie toxigènes
QCM || Question 21 :  La dissémination d'un agent infectieux peut se faire : || V:  par le sang | V:  par les nerfs |   le virus de la rage se propage par les lymphatiques | V:  par voie lymphatique |  diffusion de près à près | ce sont des infections qui restent à la porte d'entrée |   les streptocoques et les staphylocoques sont des bactéries non invasives qui restent à la porte d'entrée | V:  Clostridium tetani se manifeste via le système nerveux | V:  diffusion indirecte, par contamination du milieu extérieur |   dissémination indirecte, sur des objets contaminés
QCM || Question 22 :  La période d'incubation de la maladie infectieuse: || V:  elle commence dès l'entrée de l'agent infectieux et dure jusqu'aux premières manifestations de la maladie | V:  sa durée dépend de l’efficacité des mécanismes de défense de l’hôte |   la durée ne dépend pas de l'espèce de microbes infectant | V:  pendant cette période, le micro-organisme infectant pénètre et se multiplie dans le corps de l'hôte |  pour l'infection par le VIH, sa durée est de 1 à 2 semaines | V:  sa durée dépend de la dose infectieuse | V:  la durée est variable, selon le micro-organisme infectant |   pour l'infection par le SRAS-CoV-2, sa durée est d'un moins et 2 semaines |   ça commence avec les premières manifestations de la maladie |   sa durée est la même chez toutes les bactéries
QCM || Question 23 :  En période terminale d'une maladie infectieuse : || V:  le patient peut rester porteur sain |   l'infection est guérie dans un petit pourcentage de cas |   l'infection guérit toujours |   l'infection guérit toujours sans séquelles | V:  l'infection peut guérir ou devenir chronique | V: la guérison clinique n'est pas nécessairement accompagnée d'une guérison microbiologique | V:  le patient peut rester avec une infection latente |   toute infection peut devenir chronique si l'hôte a une défense déficiente |   chez les porteurs sains, l'infection peut se réactiver | V:  la guérison peut être clinique et microbiologique
QCM || Question 24 :  Infection nosocomiale: ||   la flore hospitaliere est généralement une flore exigeante sur le plan nutritionnel | V:  on l'appelle aussi infection associées aux soins |   ils apparaissent généralement dans des conditions d'utilisation d'instruments non stériles | V:  on l'appelle aussi infection hospitalier | V:  les agents pathogenes nosocomiaux colonisent facilement le milieu hospitalier | V: la flore hospitaliere a augmenté sa résistance aux antibiotiques et aux désinfectants |   les bactéries hospitalieres ont une sensibilité multiple aux antibiotiques | V:  elle peut apparaître dans les conditions de pratique de l’acte médical diagnostique ou thérapeutique |   elles sont aussi appelées infections émergentes |   par flore hospitaliere, on entend la flore de colonisation des patients
QCM || Question 25 :  Les infections épidémiques se caractérisent par : ||  les méthodes d'investigation épidémiologique les plus fiables sont les méthodes phénotypiques |   grand nombre de cas mais sans filiation entre eux | V:  la filiation entre les cas est prouvée |   nombre constant de maladies d'une année sur l'autre | V:  l'identité des isolats peut etre démontrée par des méthodes phénotypiques et moléculaires, génotypiques | V: la filiation entre les cas peut etre prouvée par une enquete épidémiologique |   la filiation des cas est caractéristique des infections sporadiques |   les méthodes moléculaires ne sont pas indiquées pour prouver l'identité des isolats car elles sont couteuses | V:  l'augmentation soudaine du nombre de cas d'infection dans une zone | V:  certaines épidémies peuvent évoluer en pandémie
QCM || Question 26 :  Enterobacteriaceae: || V:  il habite normalement l'intestin de l'homme et des animaux |   ce sont des bacilles gram-négatifs strictement anaérobies | V:  sont des bactéries naturellement résistantes à la pénicilline | V: sont impliqués dans la survenue d'infections nosocomiales | V:  sont des bacilles a Gram négatif facultatifs |  ce sont des bactéries nutritionnellement exigeantes |   toutes les especes sont hautement pathogenes |  sont des bactéries naturellement sensibles a la pénicilline | V:  ce sont des bactéries nutritionnellement peu exigeantes |   il provoque le plus souvent des infections de la porte d'entrée digestive
QCM || Question 27 :   Pseudomonas aeruginosa: || V:  on l'appelle aussi bacille pyocyanique | V:  sont des bactéries naturellement résistantes à la pénicilline et aux aminopénicillines |   sont des bactéries alpha-hémolytiques | V:  produit un pigment bleu ou vert diffusible dans le milieu de culture |   ne provoquent des infections que chez les patients immunodéprimés |  ce sont des bactéries extrêmement exigeantes sur le plan nutritionnel |   sont des bacilles Gram positif aérobies |   ils produisent un pigment vert appelé biliverdine | V:  ce sont des bactéries nutritionnellement peu exigeantes | V:  ce sont des bacilles Gram-négatifs aérobies strictes
QCM || Question 28 :  Escherichia coli: ||   ce sont des bactéries extrêmement exigeantes sur le plan nutritionnel | V:  sont des bacilles a Gram négatif facultatifs |   ce sont toujours des bactéries bêta-hémolytiques |  ils provoquent le plus souvent des infections digestives | V:  provoque le plus souvent des infections urinaires | V: ce sont des bactéries nutritionnellement peu exigeantes |   sont des bactéries sensibles à la pénicilline |   sont des bacilles Gram positif aérobies | V:  peut provoquer des infections de plaies et des brûlures chez les patients hospitalisés | V:  peut provoquer une pneumonie lobaire aiguë
QCM || Question 29 :  Klebsiella pneumoniae: ||   ce sont toujours des bactéries bêta-hémolytiques |   ils provoquent le plus souvent des infections digestives. | V:  provoque souvent des infections urinaires | V:  sont des bacilles à Gram négatif facultatifs | V:  ce sont des bactéries nutritionnellement peu exigeantes | V: peut provoquer une pneumonie lobaire aiguë |   sont des bactéries sensibles à l'ampicilline | V:  peut provoquer des infections de plaies et des brûlures chez les patients hospitalisés |   sont des bacilles Gram positif aérobies |   ce sont des bactéries extrêmement exigeantes sur le plan nutritionnel
QCM || Question 30 :  Pour identifier une bactérie jusqu'au niveau de l'espèce, les caractères suivants doivent être étudiés : || V:  caractères biochimiques | V:  caractères antigéniques |   caractères enzymatiques |   caractéristiques sérologiques |   antibiogramme | V: caractères génétiques | V:  caractères microscopiques |   caractères plasmidiques |   caractéristiques épidémiologiques | V:  caractères de culture
QCM || Question 31 :  Quels sont les mécanismes de défense non spécifiques du tube digestif ?: ||   Présence d'IgA sécrétoire |   Sécrétion d'acide sulfurique gastrique | V:  Présence de sels biliaires | V:  Desquamation de l'épithélium du pavé. |   Microbiote indigène de l'estomac | pH acide intestinal | V:  Intégrité épithéliale |   Présence d'un transport mucociliaire | V:    Présence de thiocyanates et de lactoperoxydase dans la salive | V:  Présence de lactoferrine
QCM || Question 32 :  Les mécanismes particuliers de défense non spécifique des muqueuses sont les suivants : || V:  Sécrétion d'acide gastrique (3L/jour) |   Présence de tissu conjonctif dense |   Présence d'IgM | V:  Espace mort vésical minimal | V:  Sels biliaires |  Présence de CRP |   Présence du sous-composant C3b |   Présence d'interférons gamma | V:  Transport mucociliaire au niveau de la muqueuse des trompes de Fallope | V: Microbiote autochtone dans l’iléon terminale
QCM || Question 33 :  Laquelle des affirmations suivantes concernant la phagocytose est vraie ?: || V:  Dans le phagosome, l'explosion respiratoire génère des radicaux superoxyde toxiques. |   Les nouveau-nés présentent une sensibilité accrue aux infections par des bacilles à Gram positif. | V:  Les lymphokines activent les macrophages qui tuent les bactéries intracellulaires facultatives. |   L'activité des cellules NK est inhibée par les interférons. | V:  La première étape de la phagocytose est la chimiotaxie. | V: En l'absence d'oxygène, la destruction des micro-organismes ne nécessite pas la présence de myéloperoxydase. |   Les animaux infectés de façon latente sont des réservoirs d'agents infectieux. |   En l'absence d'oxygène, la destruction des micro-organismes nécessite la présence de myéloperoxydase. | V:  Les microbes à surface hydrophile doivent être opsonisés pour être phagocytés. |   La phagocytose ne nécessite pas l'opsonisation des microbes dont la surface est électronégative.
QCM || Question 34 :  La réponse immunitaire peut être : || V:  Obtenu naturellement, actif (par exemple, après une infection naturelle) |   Par transfert transplacentaire, de la mère au fœtus, des IgM Ac |   Obtenu naturellement, passivement, après l'infection. | V:  Obtenu naturellement, passif (par exemple, de la mère au fœtus, transplacentaire) | V:  Spécifique |  Obtenu naturellement, passivement, après la vaccination. |   Obtenu par voie naturelle et active (par exemple, Ac de la mère au fœtus, transplacentaire) |   Par transfert d'IgM-Ac de la mère au nouveau-né via le lait | V:  Non spécifique | V:  Artificiel, actif, par vaccination
QCM || Question 35 :  En ce qui concerne la réponse immunitaire humorale, on peut dire : ||   certains Ag polysaccharides peuvent activer les lymphocytes B, uniquement avec l'intervention des lymphocytes T | V:  Les Ac sont produits par les plasmocytes | V:  l'effet microbicide des Ac peut se produire après l'activation du complément par la voie classique | V:  certains Ag polysaccharidiques peuvent activer les lymphocytes B sans intervention des lymphocytes T |  est fourni par le sérum Ac spécifique d'un type particulier de paratope antigénique | V:  il est fourni par des Ac sériques spécifiques d'un certain type d'épitope antigénique | V:  La maturation et la prolifération des plasmocytes sont soutenues par les lymphocytes T. |   La maturation et la prolifération des plasmocytes sont soutenues par les cellules NK. |  l'effet microbicide des Ac peut se produire après l'activation du complément par la voie alternative |   Non amplifié par une exposition répétée au même antigène.
QCM || Question 36 :  On peut dire que la défense antimicrobienne non spécifique : || V:  Il est actif immédiatement après le contact avec le micro-organisme. |   Présent uniquement chez les individus immunocompétents | V:  Implique la participation de facteurs de coagulation | V:  Implique la participation du lysozyme |   est amplifié par une exposition répétée |  Dépend de l'expérience antigénique de l'individu. | V:  Les interférons alpha sont impliqués dans la défense non spécifique de l'environnement interne. | V:  Implique le tissu conjonctif  dans les fascias et les gaines tendineuses |   Pas un trait d'espèce |   Implique la participation des lymphocytes T cytotoxiques.
QCM || Question 37 :  Les mécanismes de défense du tégument sont : ||   Présence d'interféron gamma |   Crevasses profondes de l'épiderme | V:  Présence de la couche cornée |   Présence de chitine |   Présence d'IgA | V:  Concentrations élevées de sels |   Humidité élevée | V:  Présence de bactéries gram positives commensales | V:  Présence de lysozyme | V:                pH acide
QCM || Question 38 :  On peut dire que les mécanismes de défense non spécifiques de la muqueuse : || V:  impliquent la présence de macrophages |   Implique la présence d'IgA |  Nécessite la présence de protéines du système du complément |   Implique l'absence de mue | V:  Ils sont représentés par des épithéliums de pavés stratifiés intacts | V: sont représentés par le flux unidirectionnel de l'urine. |   Sont aussi efficaces que ceux de la peau |  sont les mêmes pour toutes les muqueuses | V:  Sont représentés par une filtration aérodynamique | V:  sont représentés par des épithéliums sécrétoires
QCM || Question 39 :  Interférons : || Les glycoprotéines sont-elles synthétisées par les fibroblastes ? | V:  représentent la première ligne de défense antivirale | V:  Action directe sur la réplication virale |   sont des effecteurs de défenses anti-infectieuses spécifiques. |   sont synthétisés par les hépatocytes |  Les alpha-interférons sont des lymphokines | V:  Ont un effet antiprolifératif | V:  La synthèse de l'interféron alpha est stimulée par l'endotoxine. | V:  ont une action immunomodulatrice |   Représente une barrière chimique constitutive
QCM || Question 40 :  En ce qui concerne les protéines de phase aiguë, nous pouvons dire : || V:  L'interleukine 6 induit la synthèse de la protéine C-réactive        	 |   Sont des barrières chimiques constitutives de l'environnement interne | Leurs valeurs sériques ne changent que lors d’infections | V:  Ils sont représentés par l'orosomucoïde et l'amyloïde A | V:  Ce sont des facteurs de coagulation |  sont des cytokines pro-inflammatoires |   Appartenir au système complémentaire | V:  La protéine C-réactive a un effet opsonisant | V:  Ce sont des inhibiteurs de protéase |   Le fibrinogène empêche l'adhésion des bactéries et favorise leur élimination
QCM || Question 41 :  Système complémentaire : ||   Représente un mécanisme de défense humorale spécifique |   Provoque une leucopénie |   Inhibe la chimiotaxie |   Tous ses composants sont synthétisés dans les hépatocytes. | V:  est activé par la présence de complexes immunitaires | V: Agit comme une anaphylatoxine | V:  A une action cytolytique en formant des pores dans la membrane bactérienne. | V:  Est activé par les endotoxines microbiennes | V:  Il s'agit d'une barrière chimique constitutive du milieu intérieur. |   Est un complexe glycoprotéique
QCM || Question 42 :  Laquelle des affirmations suivantes est vraie ?: || V:  Les neutrophiles présentent des récepteurs pour les structures de surface des micro-organismes. | V:  Les neutrophiles possèdent des récepteurs pour le fragment Fc des IgG. |   L'activité des cellules NK nécessite la présence obligatoire d'anticorps |   Les macrophages sont des phagocytes à courte durée de vie. |   Les macrophages atteignent d'abord le foyer d'infection | V: Les neutrophiles constituent la première ligne de défense cellulaire. | V:  Les macrophages sont moins efficaces pour détruire les micro-organismes phagocytés. |   Les cellules NK produisent des perforines dans la membrane bactérienne. |   Les neutrophiles présentent des récepteurs pour le fragment Fc des IgM. | V:  Les prostaglandines sont des médiateurs de l'inflammation.
QCM || Question 43 :  En ce qui concerne les défenses anti-infectieuses spécifiques, nous pouvons dire : ||   Les IgG apparaissent en premier dans la réponse immunitaire primaire |   La réponse immunitaire humorale est représentée par le système du complément. |   Le lipopolysaccharide active les lymphocytes B uniquement en présence de lymphocytes T. |   C'est inné | V:  Elle est déclenchée par le contact avec l’antigène. | V: La réponse immunitaire humorale est représentée par les anticorps synthétisés par les plasmocytes. | V:  Est synonyme d'immunité |   La réponse primaire est active immédiatement | V:  La réponse secondaire est amplifiée par une exposition répétée | V:  Après l'activation, certains lymphocytes B deviennent des cellules mémoire.
QCM || Question 44 :  A propos de l'immunité, nous pouvons dire : || V: L'immunité active s'installe chez l'hôte immunocompétent. | V: La sérothérapie consiste à administrer des anticorps préformés |  L'administration d'un vaccin est appelée séroprophylaxie. |  L'immunité passive induit une mémoire immunologique | V: L'immunité active artificielle nécessite un intervalle pour l'immunogénèse | V: Les anticorps IgA maternels sont transmis au nouveau-né par le lait. |  L'immunité naturelle active est obtenue par la vaccination | V: L'immunité passive est active chez l'hôte agamaglobulinémique. |  L'immunité passive est durable |  L'immunité passive artificielle est assurée par les anticorps maternels.
QCM || Question 45 :  L'état immunitaire du nouveau-né peut être dit : ||   Le nouveau-né a des anticorps IgM maternels |   La vaccination ciblant la réponse immunitaire cellulaire commence par la fenêtre immunologique. | V:  Le nouveau-né manque d'expérience antigénique | V:  La réceptivité aux infections est plus élevée chez le prématuré que chez le nouveau-né à terme. |   L'intervalle entre le quatrième et le sixième mois de vie est appelé la "fenêtre immunologique". |  Le nouveau-né n'a aucune capacité de réponse immunitaire | V:  Le nouveau-né est plus sensible aux infections par des bactéries à Gram négatif. | V:  Les phagocytes sont fonctionnellement immatures | V:  Les anticorps IgA maternels sont transmis au nouveau-né par le lait. |   Les lymphocytes spécifiquement sensibilisés traversent la barrière placentaire.
QCM || Question 46 :  A propos du nouveau-né, nous pouvons dire : ||  La fenêtre immunologique se caractérise par une hypergammaglobulinémie physiologique. | V: La vaccination ciblant la réponse immunitaire cellulaire doit être administrée au nouveau-né à terme, | V: Initie une réponse inflammatoire immature |  Les signes cliniques des maladies infectieuses sont discrets | V: La présence d'anticorps IgM signifie une infection congénitale. | V:  Il est plus sensible aux infections par des bactéries intracellulaires facultatives. | Le nouveau-né a une mémoire immunologique | V: Les anticorps IgG maternels sont transmis tout au long de la grossesse. |  Le taux d'immunoglobuline adulte est atteint à l'âge de 1 an pour les IgA. |  La présence d'anticorps IgM signifie une infection néo-natale.
QCM || Question 47 :  En ce qui concerne les barrières de défense externes non spécifiques, nous pouvons dire : || V:  est représenté par des barrières mécaniques |   peuvent parfois avoir une composante spécifique, par la présence de colicines produites par le microbiote indigène |  est représenté par des barrières cellulaires |   est représentée par des barrières écologiques, telles que l'activation du complément par la lectine | V:  est représentée par des barrières chimiques |  peuvent parfois avoir une composante spécifique, par la présence de bactériocines produites par le microbiote indigène | V:  est représentée par des barrières écologiques | V:  peuvent parfois avoir une composante spécifique par la présence de mucines produites par le microbiote autochtone |   est représentée par des barrières écologiques, telles que l'activation du complément, par la voie classique | V:  ils fonctionnent au niveau des gaines de surface (téguments et muqueuses)
QCM || Question 48 :  En ce qui concerne les mécanismes de défense communs qui interviennent dans les muqueuses, nous pouvons affirmer : || V:  la couche de mucus masquant les récepteurs cellulaires des ligands microbiens contient du lysozyme et de la lactoferrine | V:  Ce sont des mécanismes antimicrobiens complexes, mais moins efficaces que les mécanismes tégumentaires. |   sont des mécanismes antimicrobiens simples, qui peuvent parfois être plus efficaces que ceux au niveau du tégument | V:  participe également à l'élimination des micro-organismes par le lavage des surfaces par les sécrétions ou les excréments | V:  participe également à la barrière écologique des muqueuses normalement colonisées |  la barrière écologique représentée par l'IgA sécrétoire participe également | V:  sont représentés par l'intégrité des muqueuses |   la couche de mucus masque les récepteurs cellulaires pour les ligands microbiens contient des thiocyanates |  la barrière écologique muqueuse représentée par la flore pathogène participe également |   la couche de mucus masque les récepteurs cellulaires pour les ligands microbiens contient de la transferrine
QCM || Question 49 :  Au sujet des barrières internes des défenses non spécifiques, nous pouvons dire : || V:  Les phagocytes "professionnels" (PMN et macrophages) et les cellules NK (natural killer) constituent des barrières cellulaires. |   Le lysozyme fait partie de la barrière chimique en réponse à une infection. |   Le complément fait partie de la barrière chimique en réponse à l'infection. |   Les phagocytes "professionnels" (PMN et macrophages) et les cellules NK (natural killer) constituent les barrières mécaniques. |   le cément intercellulaire, les membranes basales, le tissu conjonctif et les fasciae sont des barrières cellulaires | V: les interférons et les protéines de phase aiguë font partie des barrières chimiques en réponse à l'infection | V:  Le lysozyme fait partie de la barrière chimique constitutive. |   Les interférons et les protéines de la phase aiguë font partie des barrières chimiques constitutives. | V:  le cément intercellulaire, les membranes basales, le tissu conjonctif et les fasciae sont les barrières mécaniques | V:  le complément fait partie des barrières chimiques constitutives
QCM || Question 50 :  A propos du complément sérique, nous pouvons dire : ||   L'activation du complément peut conduire à la lyse des microbes par le complexe d'attaque membranaire représenté par C2-C5 | V:  Peut être activé par la lectine | V:  Activation par la lectine, similaire à la voie classique, mais peut également se produire en l'absence d'Ac | V:  Il est constitué de composants synthétisés par les macrophages, le foie et la rate. |   Peut être activé par la voie classique, via le LPS. | Activation par la lectine, similaire à la voie alternative, mais peut également se produire en l'absence d'Ac | V:  Il peut être activé classiquement, par la protéine C-réactive, les anticorps, les complexes Ag Ac. |   L'opsonisation renforce la phagocytose des antigènes par les cellules spécialisées via C5b. | V:  Peut être activée par la voie alternative, par le LPS ou des composés de type endotoxine |   Constitué de composants synthétisés par la moelle osseuse.
QCM || Question 51 :  Mesures spécifiques de prévention des infections : ||   Quarantaine | V: Séroprophylaxie |   Contact sexuel sans risque |   Immunisation artificielle active |   Administration d’anticorps préformés |  Lavage des mains | V: Administration de l’anatoxine |  Isolement du patient atteint d'une maladie contagieuse |  Sélection des donneurs de sang | V: Vaccination
