QCM || Question 1 :   La sémiologie médicale est la partie de la médecine qui étudie : ||   La biologie cellulaire |   Les traitements | V:  Les symptômes | V:  La façon de les relever par des examens complémentaires |   Les maladies |   Lʼanatomie humaine | V:  Les signes | V:  La façon de relever les signes et les symptômes par examen clinique, | V:  La façon de relever les signes et les symptômes par interrogatoire |   La physiopathologie des maladies
QCM || Question 19 :    Lʼictère : ||   Dans lʼictère la bilirubine totale a une valeur normale ou diminuée | V:  On distingue trois types dʼictère : par rétention, par hépatite et cirrhose, par hémolyse |   Survient dans les maladies pulmonaires |   Dans lʼictère il nʼexiste jamais des modifications de la couleur des selles et dʼurine |   Survient dans lʼhypertension artérielle | V:  La pigmentation apparaît quand la valeur de la bilirubine augmente |   Est caractérisé par une coloration rouge des téguments et des muqueuses | V:  Survient dans la cirrhose hépatique | V:  Est caractériser par une coloration jaune des téguments et des muqueuses | V:  Dans l’ictère existe des modifications de la couleur des selles et d’urine
QCM || Question 20 :    Lʼœdème : ||   Cʼest une augmentation articulaire |   Le signe du godet est absente |   La peau est bleuâtre | V:  La peau œdématiée est brillante | V:  Lʼœdème généralisé sʼappelle anasarque | V:  Le signe du godet est présent | V:  L'œdème peut être généralisé ou localisé |   Cʼest une augmentation de la masse musculaire | V:  Cʼest une accumulation du liquide au niveau du tissue sous-cutané |   Cʼest une accumulation de la graisse au niveau du tissue sous-cutané
QCM || Question 21 :    Les mécanismes de la production de lʼœdème : || V:  Augmentation de la pression hydrostatique capillaire | V:  Hyperaldostéronisme |   Besoin accru dʼoxygène |   Le reflux gastro-œsophagien | V:  Obstruction du système lymphatique |   Hypertrophie des parois artérielles | V:  Augmentation de la perméabilité capillaire | V:  Diminution de la pression oncotique plasmatique |   Dépôt de cholestérol |   Destruction des globules rouges
QCM || Question 22 :    Lʼœdème cardiaque: ||   La cause principale de lʼœdème cardiaque cʼest lʼinsuffisance hépatique | V:  Est produit par lʼaugmentation de la pression hydrostatique | V:  La consistance varie entre mou et dur en fonction de lʼancienneté | V:  Il nʼexiste pas aucune modification de la couleur |   Est produit par la stimulation vagale |   Il disparaît dans lʼinsuffisance cardiaque |   Il est seulement unilatéral | V:  Il est symétrique et déclive |   Au début il a la couleur blanche, ensuit devient bleuâtre | V:  Il peut être intermittent, caractère vespéral (lʼintensité maximale le soir)
QCM || Question 23 :    Lʼœdème rénal: || V:  Est non douloureux | V:  Est fréquemment dans les glomérulonéphrites, syndrome néphrotique | V:  Il se produit à cause de lʼhypo albuminémie |   La couleur est bleuâtre |   Il est localisé particulièrement au niveau cardiaque |   Il est douloureux | V:  La couleur est blanche |   Apparaît dans lʼinsuffisance cardiaque | V:  Il est localisé au niveau du visage, particulièrement au niveau des paupières |   Il se produit à cause de lʼhypercholestérolémie
QCM || Question 24 :    Lʼœdème allergique : || V:  Il a une durée courte et une disparition rapide | V:  Il se produit à cause de lʼaugmentation de la perméabilité capillaire | V:  Il est limité au niveau du visage |   Sans modification de la couleur, la consistance accrue | V:  La couleur est blanche, la consistance mou |   Il est permanent |   Il est généralisé (anasarque) |   Il se produit à cause dʼun traumatisme |   Apparaît dans les maladies rénales |   Apparaît dans les maladies allergiques
QCM || Question 25 :    Les modifications du cheveux et ongles : || V:  La disparition de la mélanine est suivie de la décoloration du cheveux (blanchiment) |   Le blanchiment du cheveu est produit par la mélanine |   La couleur du cheveu est donnée par la cantinée du cholestérol |   Lʼhippocratisme digital cʼest une mycose | V:  La couleur du cheveu est donnée par la quantité et qualité de la mélanine | V:  Les ongles présentent la spécificité de pousser en continu. | V:  Dans lʼhippocratisme digital les ongles sont bombés en « verre du montre » | V:  La couleur normal des ongles est rose perlé |   Normalement les ongles sont jaunâtres |   Les ongles ne poussent jamais
QCM || Question 26 :    Les modifications au niveau des ongles peuvent être : ||   Hyperpilosité | V:  Rainures transversales et longitudinales au niveau des ongles |   Œdème des ongles |   Au niveau des ongles, il ne peut jamais y avoir de changements | V:  Koilonychia, ongles concaves |   Dépôts de cholestérol dans lʼongle | V:  Leuconychie, la couleur blanche de lʼongle |   Lʼaugmentation de la température au niveau des ongles | V:  Melanonychia, la couleur brune de lʼongle | V:  Platonychia, ongles plats
QCM || Question 27 :    Les éruptions cutanées peuvent être : ||   Macula |   Mycose | V:  Érysipèle |   Circulation veineuse collatérale | V:  Dermographisme (rayures du Trousseau) |   Abcès |   Lʼœdème en manteau | V:  Érythème noueux | V:  Zona zostère | V:  Lʼherpès
QCM || Question 28 :    Les troubles trophiques cutanés peuvent être : ||   Les lipomes |   Hyperpilosité | V:  Les engelures | V:  Ulcère perforé plantaire | V:  La gangrène |   Nodules sous-cutanés |   Dépôts de cholestérol | V:  Les doigts hippocratiques | V:  Lʼescarre |   Circulation collatérale veineuse
QCM || Question 29 :    Lʼattitude du patient : || V:  Lʼorthopnée est une attitude forcée |   Lʼattitude passive, adynamique est normale | V:  La position génu-pectorale (la prière mahométane) est une attitude forcée | V:  Peut-être active, normale |   Dans aucune maladie on ne trouve pas une position spécifique |   Lʼattitude du patient nʼas pas aucune importance pour lʼexaminateur | V:  Peut-être passive, adynamique dans les maladies graves | V:  Peut-être forcée, pour soulager un certain symptôme (douleur, dyspnée) |   Lʼattitude active est pathologique |   Lʼorthopnée est une attitude normale
QCM || Question 30 :    Lʼexamen du patient : ||   Lʼauscultation cʼest une technique dʼexamen |   Lʼinspection du patient a aucune valeur diagnostique |   Se fait de haut en bas en utilisant diffèrent techniques |   Lʼauscultation se fait dans une chambre avec beaucoup du bruit |   La percussion cʼest une technique dʼexamen |   Commence avec lʼinspection |   La palpation cʼest une technique dʼexamen |   La percussion se fait en mettant lʼoreille sur le thorax du patient |   La palpation se fait avec le stéthoscope |   Il nʼest pas nécessaire dʼutiliser aucune technique pour examiner le patient
QCM || Question 31 :    La percussion : ||   Lʼintensité du son dépend du poil du patient |   Le son tympanique est caractéristique pour le thorax |   Lʼintensité des sons obtenus dépend de lʼamplitude des vibrations sonores |   Le son mat apparaît dans lʼemphysème |   La percussion nʼest plus utilisée comme méthode dʼexamen |   La sous-matité est un mélange de sons (processus de condensation pulmonaire). |   Le son mat est caractérisé par une faible intensité (liquide pleural). |   Le son est caractérisé par une forte intensité (percussion abdomen, poumons) |   Il est fait avec le stéthoscope |   Elle est indirecte
QCM || Question 32 :    Les types caractéristiques du faciès : ||   Myxœdème (hypothyroïdien), avec lʼexagération des protubérances osseuses du visage |   Lʼaspect du visage nʼest pas caractéristique pour aucune maladie |   Hyperthyroïdien (Basedow), aspect en papillon |   Mitral, caractéristique pour lʼinsuffisance aortique | V:  Mitral (sténose mitrale) avec la cyanose des joues, nez, lèvres |   Dans lʼacromégalie les protubérances osseuses sont mince | V:  Acromégalique, avec lʼexagération des protubérances osseuses du visage | V:  Lupique (lupus), aspect en papillon | V:  Hyperthyroïdien (Basedow), avec exophtalmie bilatérale, terrifié | V:  Myxœdème (hypothyroïdien), aspect en plein lune, bouffi
QCM || Question 33 :    Types dʼattitude forcée : || V:  Décubitus ventral en mettant pression avec le poignet dans lʼhypogastre | V:  La prière mahométane |   Position pendant le sommeil | V:  Opistotonos | V:  Torticolis |   Décubitus dorsal |   Adynamique, dans les comas |   Passif | V:  Fusil de chasse |   Actif, gratuit
QCM || Question 34 :    Lʼétat de nutrition : || V:  Est estimé par lʼépaisseur du pli cutané |   Lʼépaisseur du pli cutané augmente chez les personnes maigres |   IMC nʼest pas utilisé pour appréciation de lʼétat nutritionnel |   Lʼépaisseur du pli cutané diminue chez les personnes obese | V:  Lʼobésité est le résultat dʼun apport alimentaire excessif | V:  IMC cʼest le rapport entre le poids et la taille carré | V:  Lʼobésité est caractérisée par un excès de tissu adipeux | V:  Est estimé par IMC |   Lʼobésité est caractérisée par un excès de tissu musculaire |   Lʼobésité est caractérisée par un excès hydrique
QCM || Question 35 :    Les caractéristiques de lʼétat de nutrition : || V:  Le déficit pondéral représente la diminution du poids | V:  Le stade final du déficit pondéral sʼappelle marasme | V:  La cachexie est une variante avancée du déficit pondéral |   Les personnes dans un stade finale dʼévolution dʼun cancer sont obese |   Le déficit pondéral cʼest une variante de lʼobésité |   Toutes les personnes obese ont un déficit pondéral | V:  Parmi les causes du déficit pondérale se trouve les tumeurs malignes, le diabète sucré |   Lʼétat de nutrition nʼa aucune valeur médicale | V:  Le gaspillage est une étape du déficit pondéral |   Le premier degré dʼobésité sʼappelle marasme
QCM || Question 36 :    Les modifications au niveau de globe oculaire sont : || V:  Lʼenophtalmie nʼest pas une modification du globe oculaire |   Enophtalmie, due à une diminution du contenu orbitaire |   La couleur de la sclérotique ne peut jamais changer |   Lʼexophtalmie nʼest pas une modification du globe oculaire |   Le nystagmus nʼest pas une modification des mouvements du globe oculaire | V:  Exophtalmie, protrusion du globe oculaire hors de l'orbite caractéristique pour Basedow | V:  Le nystagmus, mouvements oculaires rapides, rythmés, répétitifs et involontaires | V:  Dépôt des lipides, du cuivre, au niveau cornéen (ex gérontoxon) |   Les dépôts des lipides, du cuivre au niveau cornéen sont normaux | V:  Les sclérotiques bleus, jaune, brun ou rouge
QCM || Question 37 :    Les modifications au niveau palpébrale sont : || V:  Les xanthélasmas, dépôt des lipides aux niveau de lʼangle interne de la paupière supérieure | V:  Lʼœdème palpébral |   La lagophtalmie est une augmentation de la fente palpébrale | V:  La ptose de la paupière supérieure dans la paralysie du nerf oculomoteur commun |   Les dépôts des protéines au niveau palpébrale |   Lʼœdème au niveau palpébral nʼest pas possible | V:  Les ecchymoses palpébrales | V:  Les dépôts de la fibrine au niveau palpébrale |   La fente palpébrale ne peut pas changer ses dimensions |   La ptose de la paupière supérieure nʼest pas une modification de la paupière
QCM || Question 38 :    Les cause de lʼaugmentation de la sécrétion lacrymale : || V:  Exposition a une lumière vive |   Le diabète sucré | V:  Le contact avec des irritants | V:  Les conjonctivites |   Dans lʼobscurité | V:  Le vent, lʼair froid |   Les maladies des lèvres |   Des corps étrangères dans les sourcils |   Le vent et le froid nʼont aucun effet sur la sécrétion lacrymale | V:  Des corps étrangères intraoculaire
QCM || Question 39 :    Lʼexamen des seins: ||   Nʼest pas obligatoire pour chaque femme |   Lʼinspection des seins se fait avec la patiente complètement habillée |   La palpation ne peut pas identifier les tumeurs | V:  La gynécomastie chez les hommes est une modification pathologique | V:  Est obligatoire pour chaque femme | V:  Les tumeurs malignes sont fréquentes au niveau des seins |   Lʼexamen se fait avec le stéthoscope | V:  Lʼexamen se fait avec lʼaide de lʼinspection et de la palpation | V:  La gynécomastie peut être physiologique à la puberté |   A lʼinspection on ne peut pas voire la rétraction mamelonnaire
QCM || Question 40 :    Les symptômes de la pathologie ostéoarticulaire sont : ||   La pression artérielle élevé | V:  Lʼimpotence fonctionnelle totale |   Lʼimpotence fonctionnelle nʼest pas un symptôme de la pathologie ostéoarticulaire | V:  La rigidité articulaire | V:  Lʼimpotence fonctionnelle partielle | V:  La douleur |   Lʼobésité | V:  La raideur articulaire |   La raideur articulaire nʼest pas un symptôme de la pathologie ostéoarticulaire |   La fièvre
QCM || Question 41 :    A lʼexamen du système ostéoarticulaire : ||   On ne mesure pas lʼamplitude des mouvements articulaires | V:  On mesure lʼamplitude des mouvements articulaires |   La palpation se fait avec le stéthoscope |   La mobilité articulaire nʼa pas aucune importance sémiologique | V:  On fait lʼinspection de la région articulaire | V:  On fait la palpation | V:  Lʼexamen des articulations est comparatif | V:  On apprécie la mobilité articulaire |   La région articulaire ne doit pas être inspectée |   Lʼexamen des articulations nʼest pas comparatif
QCM || Question 42 :    A lʼinspection des articulations on peut avoir: ||   Des modifications des ongles | V:  Circulation veineuse |   Lʼictère | V:  Congestion locale | V:  Des positions vicieux antalgiques des articulations | V:  Augmentation du volume articulaire donner par la présence du liquide | V:  Des ecchymoses |   Au niveau articulaire on nʼa pas jamais de modifications inflammatoires |   La contraction Dupuytren |   Le pouls périphérique diminué
QCM || Question 43 :    Le gigantisme présente les caractéristiques suivantes : ||   Est causée par une hypersécrétion dʼhormones thyroïdiennes |   Taille < 1,2 m chez les femmes |   Taille < 1,5 m chez les hommes | V:  Taille > 2 m chez lʼhomme | V:  Survient dans la période précédant la fermeture des épiphyses | V:  Est causée par une hypersécrétion de lʼhormone somatotrope | V:  Il sʼagit dʼune augmentation exagérée de la hauteur | V:  Taille > 1,9 m chez les femmes |   Cʼest une station en hauteur |   Le développement somatique du patient est faible
QCM || Question 44 :    Le nanisme: ||   Le nanisme hypophysaire a les membres court par rapport au tronc |   Le nanisme cʼest un état de nutrition | V:  Le nanisme hypophysaire est harmonique avec des fonctions psychiques normalement développées |   Il apparaît dans lʼinsuffisance médullaire | V:  Il peut être thyroïdien |   Le patient avec nanisme a une haute stature | V:  Le patient avec nanisme a une petite taille, gagné et héréditaire |   Le nanisme thyroïdien a un développement harmonique | V:  Il peut être hypophysaire | V:  Le nanisme thyroïdien est disproportionné, dysharmonique
QCM || Question 45 :    Lʼobésité: ||   Dans lʼobésité, se produit la croissance musculaire | V:  Lʼobésité peut être gynoïde | V:  Il est la conséquence de troubles endocriniens, le terrain génétique | V:  Lʼobésité peut être androïde |   Elle est plus fréquente chez les enfants |   Lʼœdème est fréquemment associé |   Il nʼexiste pas des méthodes pour déterminer lʼexcès de poids |   Il représente la perte de poids | V:  Elle peut être généralisée | V:  Ceci est le résultat dʼun apport alimentaire excessif
QCM || Question 46 :   La sémiologie médicale est la partie de la médecine qui nʼétudie pas : ||   La façon de relever les signes et les symptômes par examen clinique, |   Les maladies | V:  La biologie cellulaire |   La façon de relever les signes et les symptômes par interrogatoire, |   Les symptômes de la maladie | V:  Les traitements |   La façon de les relever par examens complémentaires | V:  La physiopathologie des maladies | V:  Lʼanatomie humaine |   Les signes de la maladie
QCM || Question 47 :    La fiche médicale ne contient pas : ||   Les données dʼidentification du malade | V:  Lʼanamnèse de la famille | V:  Les données dʼidentification de la famille |   Lʼanamnèse du malade | V:  Lʼévolution des maladies de ses parents | V:  Le traitement des maladies de ses parents |   Lʼépicrise |   Lʼévolution de la maladie du patient |   Lʼexamen clinique du malade | V:  La situation financière des parents
QCM || Question 48 :    Les parties de l'anamnèse ne sont pas : : ||   Les antécédents familiaux | V:  Les données dʼidentification |   Les antécédents personnels |   La profession actuelle ou passée et la consommation de tabac, dʼalcool et de drogue, |   Les motifs de consultation (les symptômes) | V:  Lʼexamen clinique du malade | V:  Lʼépicrise | V:  Le traitement |   Lʼhistoire de la maladie | V:  Les explorations paracliniques
QCM || Question 49 :   Les motifs de consultation (dans lʼanamnèse) ne peuvent pas être : ||   Mal à la tête, | V:  Le chômage | V:  Les problèmes sociaux | V:  Les problèmes juridiques |   Douleur abdominale |   Douleur thoracique | V:  Lʼachat des médicamentes | V:  Les problèmes financiers |   Dyspnée |   Toux productive
QCM || Question 50 :    Les attributs de la douleur ne sont pas : || V:  Lʼhémorragie |   Facteurs dʼaggravation ou dʼamélioration |   Durée | V:  Lʼhémoptysie |   Intensité | V:  Hypertension artérielle |   Irradiation | V:  Hypotension artérielle |   Localisation | V:  Lʼhématémèse
QCM || Question 51 :    Les signes vitaux ne sont pas : || V:  La coloration des ongles |   Fréquence respiratoire |   Diurèse | V:  Lʼaspect de la chevelure |   Pression artérielle |   Fréquence cardiaque | V:  Lʼaspect du visage |   Température | V:  Le poids | V:  La texture de la peau
QCM || Question 52 :   Les antécédentes physiologique personnels ne sont pas: || V:  Les maladies héréditaires | V:  Les conditions de la vie et du travail | V:  La pathologie psychiatrique |   Nombre de grossesse, dʼavortements |   Age de la ménopause |   Dernières règles | V:  Les allergies | V:  La pathologie infectieuse |   lʼâge aux premières règles |   Méthodes contraceptives
QCM || Question 53 :   Les groupes ganglionnaires palpable ne sont pas les suivantes : ||   Les ganglions occipitaux | V:  Les ganglions poplités | V:  Les ganglions intrathoraciques |   Les ganglions submandibulaires |   Les ganglions axillaires | V:  Les ganglions médiastinaux |   Les ganglions retro auriculaire | V:  Les ganglions mésentériques |   Les ganglions jugulaires externe et interne | V:  Les ganglions intestinaux
QCM || Question 54 :   Les causes de la fièvre ne sont pas les suivantes : ||   Le cancer | V:  Le diabète sucré |   Les troubles immunitaires (collagénoses) |   Lʼinfection | V:  Lʼulcère gastroduodénal | V:  Lʼangine de poitrine |   Les réactions aux médicaments |   Les troubles hématologiques | V:  La maladie du reflux gastroœsophagien | V:  Lʼhypertension artérielle
QCM || Question 55 :    Les signes accompagnant la fièvre ne sont pas les suivantes : || V:  Lʼamaigrissement |   Refroidissement des extrémités |   Sensation de froid nécessitant plusieurs couvertures |   Sueurs |   Grelottement |   Perte de masse musculaire |   Frisson | V:  Lʼanorexie | V:  Dyspnée | V:  Perte de la masse adipeuse
QCM || Question 56 :   La couleur normale des téguments ne dépend pas de : : || V:  Déshydratation | V:  La diurèse |   Les valeurs de la pression artérielle | V:  Epaisseur de lʼépiderme | V:  La fréquence cardiaque |   Nombre et calibre des vaisseaux sanguines |   Richesse en mélanine | V:  La fréquence respiratoire |   Nombre des globules rouges |   Quantité dʼhémoglobine transportée
QCM || Question 57 :   Les modifications de la couleur des téguments ne sont pas les suivantes : || V:  Les hémorragies cutanées |   Ictère |   Cyanose | V:  Œdème | V:  La circulation veineuse collatérale | V:  Lʼascite |   Rougeur |   Pâleur |   Troubles pigmentaires | V:  Zona zostère
QCM || Question 58 :   Parmi les lésions cutanées élémentaires on ne trouve pas les suivantes : ||   Pustule | V:  La rougeur | V:  La cyanose |   Vésicules | V:  Lʼictère |   Nodule |   Papules |   Macules | V:  Les ganglions | V:  Lʼherpes
QCM || Question 59 :    Les suivantes aspects ne sont pas caractéristiques pour lʼœdème: || V:  Cʼest une augmentation de la masse musculaire |   Le signe du godet est présent |   Cʼest une accumulation du liquide au niveau du tissue sous-cutané | V:  La peau est bleuâtre | V:  Le signe du godet est absente |   L'œdème peut être généralisé ou localisé | V:  Cʼest une accumulation de la graisse au niveau du tissu sous-cutané | V:  Cʼest une augmentation articulaire |   Lʼœdème généralisé sʼappelle anasarque |   La peau œdématiée est brillante
QCM || Question 60 :   Parmi les mécanismes de production de lʼœdème, on ne trouve pas les suivantes: ||   Augmentation de la pression hydrostatique capillaire | V:  Dépôt de cholestérol |   Augmentation de la perméabilité capillaire | V:  Besoin accru dʼoxygène |   Diminution de la pression oncotique plasmatique | V:  Destruction des globules rouges | V:  Hypertrophie des parois artérielles |   Hyperaldostéronisme | V:  Le reflux gastro-œsophagien |   Obstruction du système lymphatique
QCM || Question 61 :   Parmi les modifications du cheveu et ongles, on ne trouve pas les suivantes : ||   La couleur du cheveu est donnée par la cantinée et qualité de la mélanine | V: Lʼhippocratisme digital cʼest une mycose |   Dans lʼhippocratisme digital les ongles sont bombés en « verre du montre » | V:  La couleur du cheveu est donnée par la cantinée du cholestérol | V:  Les ongles ne poussent jamais |   La couleur normale des ongles est rose perlé |   Les ongles présentent la spécificité de pousser en continu. | V:  Le blanchiment du cheveu est produit par la mélanine |   La disparition de la mélanine est suivie de la décoloration du cheveu (blanchiment) | V:  Normalement les ongles sont jaunâtres
QCM || Question 62 :    La palpation : || V:  Elle nous donne des informations sur le volume, la sensibilité et la consistance des organesV |   Pour palper on a besoin dʼun stéthoscope | V:  On palpe les ganglions |   De nos jours on a renoncer a utilisé la palpation |   Quand on palpe, on appui assez fort pour produire la douleur du patient | V:  Peut-être une palpation profonde |   Elle est une méthode radiologique |   Elle se fait à la fin du traitement du patient | V:  On palpe aussi les téguments, les muscles | V:  Peut-être une palpation superficielle
QCM || Question 63 :    Les erreurs de lʼexamen du patient sont: ||   La percussion cʼest une technique dʼexamen | V:  La percussion se fait en mettant lʼoreille sur le thorax du patient |   Commence avec lʼinspection | V:  Lʼauscultation se fait dans une chambre avec beaucoup du bruit |   La palpation cʼest une technique dʼexamen | V:  La palpation se fait avec le stéthoscope | V:  Examiner sans utiliser la palpation, percussion, auscultation |   Lʼauscultation cʼest une technique dʼexamen | V:  Lʼinspection du patient nʼa pas aucune valeur diagnostique |   Lʼexamen du patient se fait de haut en bas en utilisant diffèrent techniques
QCM || Question 64 :    A lʼinspection des articulations on ne peut pas avoir: ||   Augmentation du volume articulaire donner par la présence du liquide | V:  La contraction Dupuytren | V:  Des modifications des ongles |   Des positions vicieux antalgiques des articulations | V:  Au niveau articulaire on nʼa pas jamais de modifications inflammatoires | V:  Le pouls périphérique diminué |   Congestion locale | V:  Lʼictère |   Circulation veineuse |   Des ecchymoses
QCM || Question 65 :    Types de fièvre: ||   Sous fébrilité |   La sueur | V:  Fièvre ondulante |   Le frisson | V:  Fièvre continue | V:  Fièvre récurrente |   Lʼhypothermie | V:  Fièvre irrégulier | V:  Fièvre intermittente |   Lʼanxiété
QCM || Question 66 :    Le pyrosis: ||   Il représente la douleur au niveau du flanc gauche |   Il apparaît dans les coliques néphrétiques | V:  Il est accentué avec l'ingestion de boissons acides |   C'est la difficulté à avaler les aliments | V:  Il est accentué par l'ingestion d'alcool | V:  Il représente une sensation de brûlure rétrosternale |   Il représente l'élimination de gaz de l'estomac par la bouche | V:  Il est accentué avec des liquides chauds | V:  On le trouve dans la maladie de reflux gastro-oesophagien |   C'est similaire à l'odynophagie
