QCM || Question 1 : Les facteurs susceptibles de limiter la biodisponibilité après une administration orale sont les suivants : || V:  forte liaison aux protéines plasmatiques | V:  la solubilité du médicament |  des ingrédients spéciaux qui contrôlent la vitesse de libération de l'agent thérapeutique afin de prolonger la durée d'action. |  petite taille des particules du médicament |  propriété du médicament d'être hautement lipophile | V:  l'instabilité chimique de la substance | V:  bioinactivation dans l'intestin ou au premier passage hépatique |  propriété du médicament d'être très hydrophile | V:  vidange rapide de l'estomac | destruction de la substance active du médicament par les protéases
QCM || Question 12 :   On peut dire que la réaction de phase I est par: || V:  Réduction | V:  Oxydation par les iso-enzymes P450 | V:  Oxydation par le système mono-oxygénase P450 |  Sulfation | V:  L'addition de groupe –OH au médicament | V: Hydrolyse |  Acétylation |  Méthylion |  Glutathion |  Glucuronidation
QCM || Question 13 :   On peut dire que la réaction de phase II est par: || V:  Méthyle | V:  Glycine | V:  Acétyle |  Réduction |  L'addition de groupe –OH au médicament | Oxydation par le système mono-oxygénase P450 | V:  Glucuronide |  Oxydation par les iso-enzymes P450 | V:  Glutathion |  Hydrolyse
QCM || Question 14 :   On peut dire que le métabolisme des médicaments est susceptible d'être affecte par: || V:  Lʼinsuffisance hépatique | Lʼinsuffisance cardiaque |  L'hyperthyroïdie | V:  La prise des médicaments inhibiteurs enzymatiques |  L'hypothyroïdie |  L'administration d'eau | V:  La prise des médicaments inducteurs enzymatiques | V:  Les polymorphismes génétiques | V:  L'âge de plus de 65 ans |  L'effort physique
QCM || Question 15 :   Parmi les médicaments suivants, lesquel(s) est/sont des inducteurs des enzymes métabolisatrices ?: ||  V:  Le phénobarbital |  La cimétidine | V:  La phenytoine  |  L'aspirine | V: La carbamazépine | V: L'éthanol | V:  La rifampicine |  L'érythromycine |  La norépinephrine |  L'adrénaline
QCM || Question 16 :   On peut dire que parmi les paramètres pharmacocinétiques principaux est: ||   La distribution des médicaments | V:  Le temps de demi-vie |   Le métabolisme des médicaments |   L'absorption des médicaments | V:  Le volume de distribution | V: La biodisponibilité |   La distribution des médicaments | V:  La vitesse de distribution |   L'excrétion des médicaments | V:  La clairance
QCM || Question 17 :   On peut dire que l'absorption des médicaments est : || V:  Augmentée par le metoclopramide | V:  Réduite par les médicaments qui diminuent la vitesse de vidange gastrique |  Toujours augmentée par la présence de la nourriture dans l'estomac | V:  Augmentée par les médicaments qui augmentent la vitesse de vidange gastrique |  N'est pas influencée par la motilité intestinale |   	N'est pas influencée par l'acidité gastrique pour tous les médicaments | V:  Réduite par l'atropine | V:  Peut-être modifie par la présence de la nourriture dans l'estomac |  Toujours réduite par la présence de la nourriture dans l'estomac |  N'est pas influencée par la présence de la nourriture dans l'estomac pour tous les médicaments
QCM || Question 18 :   On peut dire que l'excrétion des médicaments se fait : || V:  Par voie rénale pour la plupart des médicaments | V:  En principal par la sécrétion du lait pour la plupart des médicaments | Au niveau rénal, pour l'aspirine est plus augmente après l'acidification d'urine |  Par voie biliaire pour tous les médicaments | V:  Au niveau rénal, pour l'aspirine est plus augmente après l'alcalinisation d'urine | V: Au niveau rénal Réduite par l'atropine |  Par voie rénale pour tous les médicaments |  Par voie respiratoire pour la plupart des médicaments | V:  Par voie biliaire pour certains médicaments |  Par voie parentérale pour la plupart des médicaments
QCM || Question 19 :   On peut dire que l'efficacité de la warfarine: || V:  Peut-être diminue par le phénobarbital | Peut-être augmente par l le phénobarbital | V:  Peut-être augmente par l'érythromycine | V:  Peut-être diminue par la carbamazépine |  Peut-être augmente par la carbamazépine | Peut-être diminue par la cimétidine | V:  Peut-être diminue par la rifampicine |  Peut-être diminue par l'acétaminophène |  Peut-être augmente par la rifampicine | V:  Peut-être diminue par la phenitoine
QCM || Question 20 :   On peut dire que pour la warfarine: || V: L'efficacité est augmentée par l'érythromycine | V:  Le métabolisme peut-être inhibé par la cimétidine |  L'efficacité est augmentée par la cimétidine |  Le métabolisme peut-être inhibé par l'érythromycine |  Le métabolisme peut-être inhibé par la carbamazépine | Le métabolisme peut-être inhibé par la phenitoine | V:  Le métabolisme peut-être inhibé par le phénobarbital | V:  Le métabolisme peut-être inhibé par la cimétidine |  Le métabolisme peut-être inhibé par la rifampicine | V:  L'efficacité peut être modifiée par les inhibiteurs des enzymes de la métabolisation
QCM || Question 21 :   On peut dire que pour la théophylline: || V: Le métabolisme peut-être inhibé par la cimétidine | V:  L'efficacité est augmentée par l'érythromycine |  L'efficacité est augmentée par la cimétidine | Le métabolisme peut-être inhibé par la phenitoine |  Le métabolisme peut-être inhibé par l'érythromycine | V:  Le métabolisme peut-être inhibé par la cimétidine |  Le métabolisme peut-être inhibé par la rifampicine |  Le métabolisme peut-être inhibé par le phénobarbital | V: Le métabolisme peut-être inhibé par la carbamazépine | V:  L'efficacité peut être modifiée par les inhibiteurs des enzymes de la métabolisation
QCM || Question 22 :   On peut dire que le métabolisme (l'effet) de premier passage: || V:  Est observé pour propranolol après l'administration orale | V:  Est observé pour morphine après l'administration orale |  Se limite au métabolisme dans la peau |  Est défini par le rapport DL50 / DT50 | Se limite au métabolisme dans l'intestin | V:  Ne se limite pas au métabolisme hépatique |  Se limite au métabolisme hépatique | V:  Est observé pour chlorpromazine après l'administration orale | V:  Est observé pour lidocaïne après l'administration orale |  Est observé pour trinitroglycérine après l'administration orale
QCM || Question 23 :   On peut dire que le métabolisme (l'effet) de premier passage: ||   Est dépendant de la présence de l'acidité gastrique | V:  Est le métabolisme des médicaments lorsqu'ils passent dans le foie |   Est évité par l'administration par voie orale |  Est dépendant du temps de demi-vie de médicament |   Est dépendant de la présence de la nourriture dans l'estomac | V: Est partial évité par l'administration rectale | V:  Est évité par l'administration parentérale |   Est dépendant de la liaison aux protéines plasmatiques | V:  Est évité par l'administration intraveineuse | V:  Est évité par l'administration sublinguale
QCM || Question 24 : 	On peut dire que le métabolisme, transforment les médicaments: || V:  En métabolites plus hydrophiles | V:  Par les réactions de phase II, les métabolites de phase I devient plus polaire |  Transforment toutes les médicaments en métabolites actives |  Transforment toutes les médicaments en promédicaments | V:  Transforment le levodopa en dopamine | V: En métabolites moins liposolubles |  Transforment toutes les médicaments en métabolites moins polaires | V:  Par les réactions de phase I implique la formation d'un métabolite plus polaire |  Transforment l'oxazépam en diazépam |  Transforment toutes les médicaments en métabolites toxiques
QCM || Question 25 :   On peut dire que la voie parentérale d'administration des médicaments: ||   Est utilisée pour l'administration de la plupart des médicaments |   N'évite pas le métabolisme de premier passage | V:  Est utilisée pour administrer des volumes importants des liquides | V:  Est utilisée pour obtenir des effets rapides | V:  Est utilisée pour les médicaments sensibles à l'acidité gastrique | V: Est utilisée pour des administrations continues en perfusion |  Est préférée pour l'administration des médicaments en raison de ses aspects pratiques | V: Est utilisée pour administrer des volumes importants des liquides | V:  Est utilisée pour les médicaments qui induisent dommages tissulaires locaux |  Est évitée pour l'administration des médicaments cytotoxiques
QCM || Question 26 :   On peut dire que: ||   L'insuline peut être administre pas voie orale |   La benzylpénicilline peut être administre pas voie orale | V: Les anesthésiques volatils peuvent être administrés par voie inhalateur |   Le volume de distribution est le volume dans laquelle se distribue le médicament | V:  Le temps de demi-vie est te temps nécessaire pour que la concentration plasmatique de médicament diminue de moitié par rapport à sa concentration initiale | V: La biodisponibilité décrit la proportion du médicament administre qui atteint la circulation systémique |   Les volumes importants des médicaments sont administre pas voie orale | V:  À la suite d'administration intraveineuse, la biodisponibilité est de 100% | V:  La clearance est le volume sanguin débarrassée du médicament par unité de temps |   Les médicaments cytotoxiques sont administre pas voie orale
QCM || Question 27 :   On peut dire que: ||   Le métabolisme de suxaméthonium est influence par les facteurs génétiques | V:  Le métabolisme des estrogènes peut être diminue par la carbamazépine | V:  Le métabolisme des estrogènes peut être augmente par la rifampicine |   Le métabolisme de propranolol est influence par les facteurs génétiques | V:  L'effet de metoprolol est augmenté en cas de déficience de CYP2D6 |  L'effet de l'isoniazide est augmenté en cas de déficience de N-acétylasse |   Le métabolisme de l'isoniazide est influence par les facteurs génétiques | V:  L'effet de suxaméthonium est augmenté en cas de déficience de pseudocholinestérase | V:  L'effet de propranolol est augmenté en cas de déficience de CYP2D6 |   Le métabolisme de metoprolol est influence par les facteurs génétiques
QCM || Question 28 :   On peut dire que l'absorption des médicaments peut-être influencé par: || V:  Motilité intestinale | V:  Présence de la nourriture dans l'estomac |  Par le métabolisme de premier passage | V:  Stabilité en milieu acide gastrique | V:  Formulation de médicament |  Par le volume de distribution |  Par le temps de demi-vie de médicament | V:  Stabilité vis-à-vis des enzymes gastriques |  Par la clairance de médicament |  Par l'excrétion de médicaments
QCM || Question 29 :   On peut dire que l'absorption des médicaments est dépendante de: ||   La capacité du rein a éliminé le médicament | V:  Dégrée de métabolisme de premier passage |   La forme libre de médicament en plasma | V:  pH du milieu | V:  La liposolubilité des médicaments | V: La dégrée d'ionisation des médicaments |   La capacité de foie du métabolisme de médicament |   La liaison des médicaments des protéines plasmatiques | V:  La surface de l'intestin grêle |   La constante d'absorption
QCM || Question 30 :   On peut dire que la pharmacocinétique: ||  V:  Étudié les étapes suivantes: absorption, distribution, métabolisme, excrétion |  Étudié les interactions au niveau de récepteurs |  Étudié l'action des médicaments sur les enzymes |  Étudié l'action des médicaments sur les récepteurs | V:  Étudié le sort des médicaments dans lʼorganisme au cours de temps | V: Étudié les facteurs qui modifient l'absorption | V:  Étudié les facteurs qui modifient le métabolisme |  Étudié les modes d'action des médicaments | V:  Étudié les interactions pharmacocinétiques au niveau de l'absorption, distribution, métabolisme, excrétion |  Étudié les interactions entre les médicaments et les tissus du corps humain
QCM || Question 31 :   Les médicaments agissent sur les récepteurs : ||   par la libération de neuromédiateurs des réserves cellulaires |   par altération des acides nucléiques | V:   par des mécanismes d'action physico-chimiques | V:   couplés aux protéines G | V:	couplé à une enzyme | V:	par la formation de pores membranaires |   en bloquant la libération de radicaux libres |   de type de canal ionique à libération par ligand | V:  transmembrane |	intracellulaire
QCM || Question 32 :   On peut dire que la tératogenèse est induit par: ||   L'amoxicilline |   L'ampicilline |   La benzylpénicillines | V:  Les tétracyclines | V:  Les médicaments anticancéreux |	L'acétaminophène | V: Le valproate |   Le paracétamol | V:	La carbamazépine | V:	La warfarine
QCM || Question 33 :   On peut dire que produit des anomalies pendant le développement fœtal: ||   Le paracétamol | V:  La warfarine |   L'amoxicilline |   L'ampicilline |	L'acétaminophène | V:  La carbamazépine | V:   Le valproate | V:  Les médicaments anticancéreux | V:  Les tétracyclines |	Les pénicillines
QCM || Question 34 :   On peut dire qu'il y a diffèrent type d'antagonisme: ||   extrinsèque | V:  physiologique |  seul | V: compétitif |	intrinsèque |  complet | V:  chimique | V:  non compétitif | partiels | V:	irréversible
QCM || Question 35 :   On peut dire que la tolérance: ||  V:  Dans le cas des stimulants bêta-adrénergiques, elle peut s'expliquer par l'internalisation des récepteurs |   À un développement lent dans le cas de l'éphédrine | V:  Dans le cas du phénobarbital, elle peut s'expliquer en partie par une auto-induction enzymatique |   Dans le cas de l'alcool, elle peut s'expliquer en partie par l'auto-induction enzymatique  | V:	À un développement rapide dans le cas de l'éphédrine | 	Dans le cas de la morphine, elle s'explique par l'épuisement des réserves d'adrénaline.  |  Pour la tolérance à l'éphédrine, le mécanisme direct est plus important que le mécanisme indirect pour expliquer le phénomène | V:  Dans le cas de l'éphédrine, elle s'explique par l'épuisement des réserves d'adrénaline. |  Dans le cas de l'éphédrine, elle s'explique par l'épuisement des réserves d'acétylcholine. | V:	Couramment décrite chez les patients traités à la morphine pour la douleur.
QCM || Question 36 :   On peut dire que: || V:  Il y a des diurétiques agissent par l'inhibition de l'anhydrase carbonique |  Il y a des diurétiques agissent par l'inhibition de la cyclo-oxygénase | V:  Il y a des médicaments agissent par l'inhibition de la acétylcholinestérase |   Il y a des antidépresseurs agissent par l'inhibition de l'anhydrase carbonique | V:	Il y a des médicaments agissent par des récepteurs lie par enzymes | V:    L'acide acétylsalicylique agis par l'inhibition de la cyclo-oxygénase | V:  Il y a des antidépresseurs agissent par l'inhibition de la monoamine oxydase |   Il y a des diurétiques agissent par l'inhibition de la monoamine oxydase |  Il y a des antidépresseurs agis par l'inhibition de la cyclo-oxygénase |	L'acide acétylsalicylique agis par l'inhibition de l'anhydrase carbonique
QCM || Question 37 :   Parmi les cibles d'action pour les médicaments on peut choisi: ||   Le transport des médicaments | V:  La paroi bactérienne | V:   Les récepteurs |   L'élimination |	L'absorption | V:	Les canaux ioniques | V:   Les enzymes |  La métabolisation | V:  Les acides nucléiques |	La distribution
QCM || Question 38 :   On peut dire que parmi les hormones locaux (autacoids) est/sont: ||   Le triphosphoinositol (IP3) | V:  Les kinines |  Le calcium (Ca2+) | V:  Les prostaglandines | V:	La 5-hydroxytryptamine | L'AMPc (adénosine monophosphate cyclique) | V:  La sérotonine |  Le DAG (1,2 diacylglycérol) | 	Le GMPc (guanosine monophosphate cyclique) | V:	L'histamine
QCM || Question 39 :   On peut dire que: ||   la représentation graphique de la relation dose – réponse présente un aspect linéaire pour 70 % de la courbe |   en général, la représentation graphique de la relation dose - réponse a une forme sigmoïde | V:  la représentation graphique en fonction du logarithme de la relation dose – réponse présente un aspect linéaire pour 70 % de la courbe | V:  en général, la représentation graphique de l'effet en fonction du logarithme de la dose a une forme hyperbolique | V:  les chercheurs préfèrent l'utilisation de l'échelle semi-logarithmique pour représenter la relation dose-effet |	les chercheurs préfèrent l'utilisation la représentation graphique de la concentration en relation de réponse pour représenter la relation dose – réponse | en général, la représentation graphique de l'effet en fonction du logarithme de la dose a une forme sigmoïde | V:  en général, la représentation graphique de la relation dose - effet est hyperbolique sur une échelle linéaire | V:  en général, la représentation graphique de la relation dose - réponse est hyperbolique sur une échelle linéaire |	les chercheurs préfèrent l'utilisation la représentation graphique de la concentration en relation de réponse pour représenter la relation dose – effet
QCM || Question 40 :   On peut dire que la liaison de médicament à son récepteur peut être de type : || V:  covalent | V:  ponts hydrogène |  isotope |  chimique | V:	hydrophobes | V:    électrostatique |  physiologique | V: type van der Waals |  	physique |	intrinsèque
QCM || Question 41 :   On peut dire d'un antagoniste compétitif que : ||   Il se lien de manière covalente aux récepteurs | V: La réponse tissulaire peut revenir à la normale en augmentant la dose d'agonistes |  Le blocage insurmontable qui en résulte est efficace dans le traitement du phéochromocytome | V:   Les doses plus fortes d'agonistes peuvent contrecarrer les effets des antagonistes compétitifs | V: Il se lien de manière réversible aux récepteurs |	Le principal exemple est phénoxybenzamine | V: En se liant à un certain nombre de récepteurs, il diminue la concentration de ceux qui sont disponibles |  Une réponse maximale peut être obtenue même si tous récepteurs ne sont pas occupés par des agoniste | V:	Ne présente pas d'efficacité intrinsèque |	L'effet n'est peut-être pas contrecarré en augmentant la concentration de l'agoniste
QCM || Question 42 :   On peut dire d'un antagoniste irréversible que : ||  En se liant à un certain nombre de récepteurs, il diminue la concentration de ceux qui sont disponibles |  La réponse tissulaire peut revenir à la normale en augmentant la dose d'agonistes | V: Il se lien de manière covalente aux récepteurs |  Ne présente pas d'efficacité intrinsèque | V:	Le principal exemple est phénoxybenzamine |	Les doses plus fortes d'agonistes peuvent contrecarrer les effets des antagonistes compétitifs | V:  Une réponse maximale peut être obtenue même si tous récepteurs ne sont pas occupés par des agonistes | V:  Le blocage insurmontable qui en résulte est efficace dans le traitement du phéochromocytome | V: L'effet n'est peut-être pas contrecarré en augmentant la concentration de l'agoniste |	Il se lien de manière réversible aux récepteurs
QCM || Question 43 :   On peut dire que : ||   L'antagoniste compétitif se lien simplement au médicament | V:  L'antagoniste compétitif se lien par les forces électrostatiques aux récepteurs | V:   L'antagoniste compétitif se lien par les forces van der Waals aux récepteurs |   L'antagoniste physiologique se lien simplement au médicament |	L'antagoniste irréversible se lien simplement au médicament |	L'antagoniste compétitif se lien de manière covalente aux récepteurs | V:  L'antagoniste compétitif se lien de manière réversible aux récepteurs | V:   L'antagoniste chimique se lien simplement au médicament | 	L'antagoniste irréversible se lien par les forces électrostatiques aux récepteurs | V:	 L'antagoniste non compétitif ne se lien pas au site d'affinité des récepteurs
QCM || Question 44 :   On peut dire que : ||   L'agoniste se lient aux récepteurs mais ne les activent pas | V:  L'agoniste partiel induit une réponse faible comparative a l'agoniste complète |   L'agoniste partiel peut induit une réponse plus forte comparative a l'agoniste complète |  L'antagoniste irréversible peut modifier la conformation d'un récepteur pour induit une réponse | V: L'antagoniste compétitif se lient aux récepteurs mais ne les activent pas | V:  L'agoniste partiel peut modifier la conformation d'un récepteur pour induit une réponse |  L'antagoniste non compétitif peut modifier la conformation d'un récepteur pour induit une réponse | V: L'agoniste inverse peut modifier la conformation d'un récepteur pour induit une réponse | V:  L'agoniste peut modifier la conformation d'un récepteur pour induit une réponse |	L'antagoniste compétitif peut modifier la conformation d'un récepteur pour induit une réponse
QCM || Question 45 :   On peut dire que : || V:   Les antagonistes peuvent être compétitifs ou irréversibles | V:   L’index thérapeutique est défini par le rapport DL50 / DE50 |   L’index thérapeutique est défini par le rapport DE50 / DL50 |   Les protéines G entraînent directement la fermeture des canaux ioniques |	La pharmacodynamie a pour l'objet l'étude de sort des médicaments dans l'organisme |	La pharmacocinétique a pour l'objet l'étude de l'action exercée par les médicaments sur l'organisme | V:  L’index thérapeutique est également appelé “marge thérapeutique” | V:  La relation quantitative entre les effets des agonistes et leurs concentrations peut être évaluée grâce à des tests biologiques |  Les antagonistes médicamenteux de type irréversible augmentent l’amplitude de la réponse maximale |  Un antagoniste compétitif présente une efficacité intrinsèque
QCM || Question 46 :   On peut dire que : ||   Propranolol est β1-bloquant sélectif sans l'activité sympathomimétique | V:  L'adrénaline est agoniste aux récepteurs adrénergiques |   L'épinéphrine est antagoniste aux récepteurs adrénergiques | Propranolol est β-bloquant non sélectif avec l'activité sympathomimétique |	L'adrénaline est antagoniste aux récepteurs adrénergiques | V:	Les benzodiazépines sont agonistes aux récepteurs GABA-A | V:   Propranolol est β-bloquant non sélectif sans l'activité sympathomimétique | V:  L'épinéphrine est agoniste aux récepteurs adrénergiques | V:  Acébutolol est β1-bloquant sélectif avec l'activité sympathomimétique |	Les benzodiazépines sont antagonistes aux récepteurs GABA-A
QCM || Question 47 :   On peut dire que : ||   L'acide acétylsalicylique agit par mécanisme osmotique |  L'adrénaline agit par mécanisme osmotique | V:  Il y a des laxatifs qui s'agissent par mécanisme osmotique | V:  L'adrénaline agit par mécanisme de la catégorie physico-chimique |	Les substances de contraste agissent sur les récepteurs | V:	L'acide acétylsalicylique détermine l'inhibition irréversible de la cyclo-oxygénase | V:  Il y a des diurétiques qui s'agissent par mécanisme osmotique | V:  La protamine peut abolit l'effet anticoagulant de l'héparine |  Le Nicorandil détermine l'inhibition de canaux calciques |	L'adrénaline peut abolit l'effet anticoagulant de l'héparine
QCM || Question 48 :   On peut dire que : || V:  L'adrénaline et l'histamine sont des antagonistes physiologiques au niveau du muscle lisse vasculaire |   Les antagonistes compétitifs augmentent la puissance des agonistes | V:  Les messagers secondaires sont impliqués dans les mécanismes post-récepteurs. | V:  Le récepteur a la capacité de reconnaître le ligand et de déclencher une réponse biologique |  Le sulfate de protamine et l'héparine sont des antagonistes physiologiques | V:	Les récepteurs pour l'insuline sont des récepteurs couplés à des enzymes. | V:   Les récepteurs nicotiniques sont des récepteurs couplés aux protéines G. |   Un antagoniste non compétitif se lie avec une affinité importante au récepteur. |  	Les récepteurs pour l'insuline sont des récepteurs liés à des canaux ioniques |	Les récepteurs adrénergiques sont des récepteurs liés à des canaux ioniques
QCM || Question 49 :   On peut dire que : || V:  Les récepteurs pour l'insuline sont lie à l'activité de tyrosine kinase intrinsèque | V:   Le récepteur GABA-A est couplé à un canal chlorure |   Les récepteurs de l'aldostérone sont couplé à un canal chlorure |  Le récepteur GABA-A est couplé à un canal sodium | V:	Les récepteurs des hormones thyroïdiennes sont des récepteurs nucléaires |	Les récepteurs des hormones stéroïdes sont lie à l'activité de tyrosine kinase intrinsèque |  Les récepteurs de l'aldostérone sont des récepteurs membranaires | V:  Le récepteur β-adrénergique est couplé à des protéines de type G | Les récepteurs des hormones stéroïdes sont couplé à des protéines de type G | V:	Les récepteurs des hormones stéroïdes sont des récepteurs nucléaires
QCM || Question 50 :   On peut dire que : || V:  Les antidiabétiques oraux inhibent le transport de K+ par les canaux ioniques de potassium |   Les antidiabétiques oraux inhibent le transport de Ca2+ par les canaux ioniques de calcium | V:  La lidocaïne inhibe le transport de Na+ par les canaux ioniques de sodium | V:   L'inhibition de l'enzyme cyclooxygénase par l'acide acétylsalicylique est de type irréversible. | V:  Les anesthésiants locaux inhibent le transport de Na+ par les canaux ioniques de sodium | V:  La nifedipine inhibe le transport de Ca2+ par les canaux ioniques de calcium |  La lidocaïne inhibe le transport de Ca2+ par les canaux ioniques de calcium |  Les anesthésiants locaux inhibent le transport de Ca2+ par les canaux ioniques de calcium |  L'inhibition de l'enzyme cyclooxygénase par l'acide acétylsalicylique est de type réversible |	La nifedipine inhibe le transport de Na+ par les canaux ioniques de sodium
